scenario,comparison_status,dataset_name,risk_weight,cost_weight,time_weight,solver_status,solver_solution_interpretation,heuristic_status,solver_served_customers,heuristic_served_customers,solver_total_risk,heuristic_total_risk,risk_diff_heuristic_minus_solver,risk_diff_pct_vs_solver,solver_total_cost,heuristic_total_cost,cost_diff_heuristic_minus_solver,cost_diff_pct_vs_solver,solver_total_time_minutes,heuristic_total_time_minutes,solver_runtime_total_algorithm_seconds,heuristic_runtime_total_algorithm_seconds,solver_active_vehicles,heuristic_active_vehicles,heuristic_single_trip_per_vehicle,heuristic_route_structure_compatible,solver_cbc_log_file,solver_cbc_log_has_final_termination,solver_cbc_last_progress_seconds,solver_cbc_nodes,solver_cbc_incumbent,solver_cbc_best_bound,solver_cbc_relative_gap_percent
large_10_vehicle_extra_volvo_single_trip,solver_missing,Large,0.5,0.3,0.2,missing,missing,feasible,,50,,1715.7787,,,,17016.8805,,,,5940.1179,,113.1544,,10,True,True,,,,,,,
medium_risk_0.3_cost_0.5_time_0.2,both_feasible,Medium,0.3,0.5,0.2,feasible,reported_optimality_unverified,feasible,20,20,5.1894,4.84,-0.3494,-6.733,7982.3085,7506.4525,-475.856,-5.961,3287.022,2933.4751,17995.816,73.6438,6,5,True,True,,,,,,,
medium_risk_0.5_cost_0.3_time_0.2,both_feasible,Medium,0.5,0.3,0.2,feasible,reported_optimality_unverified,feasible,20,20,4.7665,4.84,0.0735,1.542,7154.2002,7506.4525,352.2523,4.924,3195.7023,2933.4751,17995.8534,78.5861,5,5,True,True,,,,,,,
small_risk_0.3_cost_0.5_time_0.2,both_feasible,Small,0.3,0.5,0.2,feasible,optimal,feasible,10,10,3.2205,3.2697,0.0492,1.528,2347.4623,2651.6176,304.1553,12.957,1163.1151,1133.0968,604.6999,14.2726,2,2,True,True,,,,,,,
small_risk_0.5_cost_0.3_time_0.2,both_feasible,Small,0.5,0.3,0.2,feasible,optimal,feasible,10,10,3.2205,3.2697,0.0492,1.528,2347.4623,2651.6176,304.1553,12.957,1163.1151,1133.0968,225.9708,7.1686,2,2,True,True,,,,,,,
