scenario,method,source_file,status,risk_weight,cost_weight,time_weight,risk_scale,cost_scale,time_scale,objective_exported,objective_recomputed,objective_delta,served_customers,total_risk,total_activation_cost,total_road_operating_cost,total_station_charging_cost,total_cost,total_distance_km,total_travel_minutes,total_service_minutes,total_charging_minutes,total_break_minutes,total_time_minutes,total_charging_events,active_vehicles,has_schedule_details
medium_risk_0.3_cost_0.5_time_0.2,heuristic,E:\HSBI资料\ORP\Umwelftfreundliche_Routenplanung\experiments\data\heuristic_output_multicustomer\medium_risk_0.3_cost_0.5_time_0.2\heuristic_result.json,feasible,0.3,0.5,0.2,28.1474,25379.430855,7020.0,0.28304494241249106,0.28304494241249106,0.0,20,4.84,5200.0,1093.9609,1212.49162,7506.45252,1982.7430000000002,1853.4751,900.0,180.0,180.0,2933.4750999999997,4.0,5,True
medium_risk_0.3_cost_0.5_time_0.2,solver,E:\HSBI资料\ORP\Umwelftfreundliche_Routenplanung\experiments\data\solver_output_multicustomer\medium_output_risk0.3_cost0.5_time02\solver_medium_output.json,feasible,0.3,0.5,0.2,28.1474,25379.430855,7020.0,0.30621630698589924,0.3062163069858992,5.551115123125783e-17,20,5.189399999999999,6400.0,1278.0561399999997,304.25238,7982.3085200000005,2257.5278,2117.022,900.0,45.0,225.0,3287.022,1.0,6,False
medium_risk_0.5_cost_0.3_time_0.2,heuristic,E:\HSBI资料\ORP\Umwelftfreundliche_Routenplanung\experiments\data\heuristic_output_multicustomer\medium_risk_0.5_cost_0.3_time_0.2\heuristic_result.json,feasible,0.5,0.3,0.2,28.1474,25379.430855,7020.0,0.2582815015082365,0.2582815015082365,0.0,20,4.84,5200.0,1093.9609,1212.49162,7506.45252,1982.7430000000002,1853.4751,900.0,180.0,180.0,2933.4750999999997,4.0,5,True
medium_risk_0.5_cost_0.3_time_0.2,solver,E:\HSBI资料\ORP\Umwelftfreundliche_Routenplanung\experiments\data\solver_output_multicustomer\medium_output_risk0.5_cost0.3_time02\solver_medium_output.json,feasible,0.5,0.3,0.2,28.1474,25379.430855,7020.0,0.2602829028370663,0.26028290283706623,5.551115123125783e-17,20,4.7665,5600.0,1252.81685,301.38336,7154.200209999998,2162.3472,2025.7023,900.0,45.0,225.0,3195.7022999999995,1.0,5,False
