delivery_id,origin_node,destination_node,vehicle_id,hazard_class,path_node_ids,path_arc_ids,path_length_km,path_risk,variable_cost,fixed_cost,total_cost,num_edges,feasible,solver_status
1,1827996421,10882954118,MAN_eTGX,3,1827996421;21487210;29221504;29221506;2121324874;12913047864;13313285539;3182529377;12913047865;12913047866;6744165042;6682293818;341340978;21487209;9700774819;10567768816;540765012;12138231748;13755455681;258045540;13427198599;12348944560;28373970;3513425993;3513423889;28373972;2882261426;1920295912;4543931130;28373974;4543931131;3513423878;3513423874;3513423870;21487224;29215073;196724115;13393969584;2306736434;13393969582;13393969583;2306732499;13393969589;4863745847;21487230;13160877147;6900306510;13393969614;13393969595;13393969611;28794540;13393969594;13393969620;13155126346;3352479273;26960762;3352479268;13155126348;3352479236;287923220;13393969623;3352479263;4016416628;13393969626;7045572536;13393969657;5491239139;11061559948;11061559945;21487232;11061559944;11061559947;13391527943;734445172;7569626500;9847909117;29218293;10701072015;13391527956;4515453625;734451594;13391569609;29215049;10678191442;1287556338;1287556271;10678191437;3875882005;3875882004;29215046;287447547;287447544;287447539;287447534;287447548;287447532;13481927576;287447531;287447530;287447529;13233583767;13233583786;9892265905;1370001611;3940447306;4779355605;9892381726;9892381717;283190210;1211114755;5984003379;5984003383;21487231;5984004385;5984003380;4779383494;6515239376;10678191241;10678191256;9945042609;4779346229;10678191258;10678191295;5941363173;10678191294;29216564;10882922396;13585288046;13585288050;10882922389;29216567;10882922390;10882922391;13585288028;10678429978;10678429976;10678429974;10678429969;10678429971;10678429967;10882922400;10678429965;13591310731;10882954105;29216565;5261937552;8567314893;1795182927;10678429936;10243398750;10678429929;10882954118,-1;-1;208151;-1;402938;402946;402944;402942;402940;267669;267667;267665;-1;-1;-1;348204;90847;90849;90851;90853;90855;90857;157995;157997;157999;104219;104221;104223;104225;104227;104229;104231;-1;-1;-1;-1;216610;216608;216606;508281;508283;508285;508289;508287;456518;508297;508295;508293;508303;508301;508299;508291;19427;19425;19423;245360;245358;245356;245354;515400;515398;508307;508305;224850;224848;508309;331358;331356;331354;331364;331362;331360;507512;507514;294879;294877;507518;507516;261058;261056;261054;261052;-1;357761;357759;357753;21703;21701;21699;-1;514769;514771;514773;514775;514745;514747;514749;514751;514753;514755;-1;471247;155714;155716;155718;155720;398519;398521;297037;297039;297041;297043;357745;357743;357741;357739;357737;357735;357747;19525;19523;19521;19519;19517;19515;19513;19511;19509;19507;19505;19455;19453;19451;19449;19447;19445;19443;19441;19439;19437;19435;19433;19431;19429;309245;309247;309249;309251;357964;357966;357968,3.5993,13.1572,3.189,180,183.189,151,True,Optimal
2,1827996421,13047905398,MAN_eTGX,2,1827996421;21487210;29221504;1472911017;25665646;3378459431;1263312256;27005148;25664841;21487242;25662562;25664713;21487180;3767874554;3767875469;10295337942;10889595182;10889595185;10889595189;4351377008;5394001568;5394001566;6400342990;5394001567;10889595198;538810542;12077445802;12077445807;175652814;5824657591;5824657592;1447899974;1348697004;26870674;1342724020;21487173;8977088994;27011222;21487171;1337618621;21487169;27011311;1999948493;21677261;5194290241;26704447;21487145;21487148;21487144;251106770;26727582;26727583;1757441436;267620336;26727584;26938193;12887437513;9999121362;10558860561;7978839587;12325573535;13020725878;13020725881;2368417494;2368417485;13020725888;13020725892;13020725896;13020725900;948037438;13020731603;1019315512;948037440;1019315211;2368417454;27409576;6771534624;13020731627;13020731638;13020731639;13020731657;1019315246;1019315421;10611946646;10558860559;9999121383;27409541;9999121385;10611929934;10558860577;10558860580;10558860583;13020731698;3724261270;13020731699;1227903974;10558860586;10558860591;10243302161;10611957375;6221678516;10558860597;6221678518;102918593;102918596;10963058854;26784926;10002955540;10611939524;7004908579;13019168012;13019168009;13019168018;13019168015;13019168021;10002955543;26784940;10004990341;13047905398,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;169243;169241;169239;342689;342687;342685;342683;258839;258837;258835;217333;217331;217329;217327;392023;392021;160319;160317;160315;3649;-1;-1;-1;303024;-1;-1;-1;303025;-1;-1;159680;-1;-1;-1;-1;-1;-1;-1;-1;4033;100103;-1;152208;412724;412726;412728;412730;335387;335389;335391;335393;335395;335397;335399;335401;335403;335405;335407;335409;131568;131570;131572;131574;412732;412734;366633;366635;366637;366639;366631;412736;352956;352958;352960;352966;352968;263737;263739;263741;263743;412746;412748;412738;412740;412742;412744;352970;340334;340336;340338;340340;-1;-1;353006;353004;353002;7493;7491;7489;7487;7485;7483;7481;7479;261543;261545,7.8294,22.4053,6.9369,180,186.9369,118,True,Optimal
3,1827996421,30429541,MAN_eTGX,8,1827996421;13334677280;13907381360;27411306;262469034;967017877;29123671;196741367;3837048413;3837048414;1289731063;12925994896;5451501378;10201971104;12925994895;5451501377;10760477364;10760477361;9830552393;29221562;9828580208;13535482417;12036393944;9828580210;29221559;29221572;29221570;9443073372;10760983702;7288375940;3730313084;12928949245;4592659108;29221556;98978100;29123430;262471375;1907668686;29150675;9788931185;9796685850;26753109;9788931172;984714147;26753107;9077192732;9077192735;13395956603;9796685852;26753085;9796685854;9077192736;3095237368;9786479990;11395600089;6206068643;10771343034;6442715890;1667142705;29150674;1666484696;6442715891;10771343035;624615346;5327685888;8304555604;1666487146;9794943096;9794943084;6258612549;13395956629;9794943083;28795335;2482532381;13395956627;13398158628;3697420869;3697420868;11546651555;26752062;11546651533;3697420867;3697420866;13398158629;1305224732;3924080665;10079286883;9799573821;1866801592;9799573825;10079286882;3938841416;9799646371;11300064866;9799646364;343195233;9799646366;13397977102;1210125153;10060447177;343195205;10060443484;13397977101;13397970200;673876026;13397970194;10060428815;13397970195;13397970193;2270462770;12881933860;1837885688;1837885687;9675797473;1837885686;1837885694;4363314502;10976375001;1957082051;8304511468;12881933859;9891848593;4406799382;12919682933;12919682932;10162297278;1574769926;12040695053;12919682939;12919682936;10162332057;674516362;10162329921;1889594101;12919682940;1889575998;10162274796;1896030889;26751801;3942838407;6434425245;1895989383;12919682943;12919682942;12919682941;10162329704;674523019;12919682944;674523005;26751520;9892114859;12919682950;12919682953;10073221422;12919464165;1895952574;10863500421;26751489;9892114908;12919705214;12919464164;12919705219;12919705220;674526912;10756766233;12919705221;10756705959;12919705222;5837199354;3697390872;11546969521;1757025233;11115079530;1757025235;5837199356;560387483;3697390876;1368767479;11546969528;12919496464;2260710255;261746036;5701088709;5664784140;5349786517;5349786515;12919464113;3697400411;3697400413;26752897;3941693901;26752898;12969505369;28302161;24985997;349904567;28302018;28301844;28301841;28301905;28300103;28301713;7271818128;28300992;28300996;29428370;1187014741;29428372;277865232;3933569898;301111148;1912917781;2739591096;302045473;29428374;13378960634;301273539;9922090844;1845060450;9922090845;3933569902;13378960626;301111437;3933569903;301111133;13378960625;299538345;301112256;11121946184;301112246;5434056016;564631562;301112229;301112226;301112223;272845235;13378960624;27199825;11121899357;13596298236;270571138;1848174653;13596298237;11232479501;11121937482;11232479502;27199824;10958933544;29428387;10958933542;3933569899;3933569900;7475601055;4924619229;27199823;411051228;247765068;3933569901;1847396272;1845088977;27199838;13304567139;3933569894;259763082;1602066516;3933569895;4799849032;5699855307;5699855308;27199839;1847396276;13304964932;13304964933;13304964931;3997497610;11039905360;259420646;10606695770;3997497614;13304964922;27199840;1845043947;8611283909;3997497613;13304964921;13304964918;13304964920;13304964917;13304964919;11037785174;29428742;1861546760;1861546785;9398207886;3135890097;1861546762;1821788428;3135890104;588159325;4470477068;30429541,-1;-1;-1;-1;164869;-1;-1;104240;104238;104236;104234;404565;404563;404561;337601;337599;337597;362400;362398;19865;19867;19869;19871;19873;-1;-1;308387;19835;19837;19839;404723;19860;19858;-1;-1;-1;-1;-1;312098;312096;312094;233481;233479;327647;304145;508777;508775;202676;202674;304149;304147;17760;312099;312101;312103;312105;312107;312109;312111;242306;242304;242302;242300;242298;242296;242294;242292;242290;242288;242286;508823;508821;330232;330230;509299;508819;325789;325787;325785;330228;330226;330224;509301;330252;330250;330248;330246;330244;330242;330240;107155;107153;107151;378465;378463;509136;509134;183769;183767;327568;327566;509130;509128;327564;509123;217087;217089;509125;509121;315084;315086;315088;297374;297372;297370;297368;297366;297364;335959;335957;335955;335953;335951;403571;335971;335969;335967;335965;335963;335961;335975;335973;403575;403573;335979;335977;171997;171995;171993;171991;171989;171987;403579;403577;335985;403583;403581;335983;335981;403595;403593;328283;328281;403461;312825;312823;312821;403459;403457;403775;403779;403777;362283;362281;403781;362285;403783;146788;146786;146784;146782;270313;270315;270317;270319;373733;373735;280062;280064;403530;16140;16142;270668;270670;270672;270674;403430;348183;348185;53960;53962;-1;-1;-1;243037;-1;-1;-1;-1;-1;-1;281588;-1;-1;-1;-1;-1;-1;108356;108358;108360;365442;365444;505474;505476;505472;210133;210135;505466;505468;505470;505458;505460;505462;505464;210111;210113;210115;210117;210119;210121;210123;210125;210127;210129;210131;505456;22455;22453;528483;528486;528484;215997;215999;216001;216003;216005;216007;92138;92140;92142;92144;92146;358823;-1;222177;358811;358813;358815;358817;486999;365438;365440;371458;365434;365436;267543;267545;267547;-1;487188;487184;487186;487182;487172;487174;487176;487178;487180;487158;220607;220609;220611;220613;487166;487162;487164;487160;487168;487170;-1;307841;307839;307837;29913;29911;480052;480050;29917;29915,8.9233,19.0054,7.9061,180,187.9061,300,True,Optimal
