delivery_id,present_in_solver,present_in_heuristic,solver_feasible,heuristic_feasible,heuristic_selected,comparison_status,solver_vehicle,heuristic_vehicle,solver_length_km,heuristic_length_km,length_diff_km,solver_risk,heuristic_risk,risk_diff,solver_variable_cost_eur,heuristic_variable_cost_eur,solver_fixed_cost_eur,heuristic_fixed_cost_eur,solver_total_cost_eur,heuristic_total_cost_eur,total_cost_diff_eur,solver_edge_count,heuristic_edge_count
delivery_1,True,True,True,True,True,both_feasible,Mercedes_eActros_600,MAN_eTGX,3.1849,3.1712,-0.0137,13.4249,12.7252,-0.6997,3.4078,2.8097,220.0,180.0,223.4078,182.8097,-40.5981,138,204
delivery_2,True,True,True,True,True,both_feasible,Mercedes_eActros_600,MAN_eTGX,7.6754,11.9249,4.2495,20.5433,19.2878,-1.2555,8.2127,10.5654,220.0,180.0,228.2127,190.5654,-37.6473,68,659
delivery_3,True,True,True,True,True,both_feasible,Volvo_FH_Electric,MAN_eTGX,7.1487,8.6853,1.5366,20.6652,15.934,-4.7312,7.1666,7.6951,200.0,180.0,207.1666,187.6951,-19.4715,161,471
