delivery_id,step,arc_id,u,v,length_km,risk,variable_cost,is_tunnel_edge,lat_u,lon_u,lat_v,lon_v
1,55,95665,13672974665,13672974656,0.004609,0.066095,0.004932,False,52.508189,13.405055,52.5081616,13.4050039
1,56,95663,13672974656,13169571715,0.036401,0.065265,0.038949,False,52.5081616,13.4050039,52.5079455,13.4045999
1,57,95661,13169571715,9779638206,0.004964,0.066933,0.005311,False,52.5079455,13.4045999,52.5079159,13.404545
1,58,460613,9779638206,13370325935,0.005202,0.06698,0.005566,False,52.5079159,13.404545,52.5078745,13.4045092
1,59,460594,13370325935,7704880039,0.006216,0.066822,0.006651,False,52.5078745,13.4045092,52.5078188,13.404517
1,60,95638,7704880039,13169538895,0.002954,0.068437,0.003161,False,52.5078188,13.404517,52.5077963,13.4045402
1,61,95640,13169538895,2453005339,0.030585,0.066029,0.032726,False,52.5077963,13.4045402,52.5075637,13.4047814
1,62,95642,2453005339,2453005336,0.018456,0.066411,0.019748,False,52.5075637,13.4047814,52.5074234,13.4049271
1,63,95644,2453005336,2453005331,0.045955,0.066592,0.049172,False,52.5074234,13.4049271,52.5070739,13.4052895
1,64,95646,2453005331,9521403849,0.028455,0.066999,0.030446,False,52.5070739,13.4052895,52.5068575,13.4055139
1,65,95648,9521403849,2453005319,0.019609,0.067336,0.020981,False,52.5068575,13.4055139,52.5067084,13.4056686
1,66,95650,2453005319,13169538872,0.025406,0.067484,0.027185,False,52.5067084,13.4056686,52.5065152,13.405869
1,67,95652,13169538872,1981945876,0.008599,0.068255,0.009201,False,52.5065152,13.405869,52.5064498,13.4059368
1,68,95654,1981945876,13169538897,0.082013,0.06812,0.087754,False,52.5064498,13.4059368,52.5058261,13.4065836
1,69,95656,13169538897,9209735315,0.002368,0.071799,0.002534,False,52.5058261,13.4065836,52.5058081,13.4066023
1,70,95658,9209735315,29215041,0.007274,0.069328,0.007783,False,52.5058081,13.4066023,52.5057528,13.4066597
1,71,357751,29215041,10635007313,0.006747,0.069576,0.00722,False,52.5057528,13.4066597,52.5057207,13.4065751
1,72,357749,10635007313,2454159044,0.043703,0.069453,0.046762,False,52.5057207,13.4065751,52.5055084,13.4060317
1,73,366947,2454159044,29215039,0.026808,0.070197,0.028685,False,52.5055084,13.4060317,52.5053737,13.4057032
1,74,159054,29215039,9209735307,0.008168,0.071145,0.008739,False,52.5053737,13.4057032,52.5053305,13.4056056
1,75,159052,9209735307,6171392297,0.00991,0.07119,0.010604,False,52.5053305,13.4056056,52.5052714,13.405496
1,76,159050,6171392297,10885733095,0.001844,0.075171,0.001973,False,52.5052714,13.405496,52.5052597,13.4054767
1,77,159048,10885733095,6086440338,0.002639,0.073777,0.002824,False,52.5052597,13.4054767,52.505243,13.405449
1,78,159046,6086440338,12137333645,0.006099,0.072009,0.006526,False,52.505243,13.405449,52.5052032,13.405387
1,79,159044,12137333645,26764821,0.008117,0.071842,0.008685,False,52.5052032,13.405387,52.5051514,13.4053025
1,80,166198,26764821,5183624209,0.011538,0.085823,0.012346,False,52.5051514,13.4053025,52.5051097,13.4054586
1,81,166200,5183624209,6171392299,0.006638,0.072031,0.007102,False,52.5051097,13.4054586,52.5050845,13.4055475
1,82,166202,6171392299,3875881983,0.039578,0.070887,0.042348,False,52.5050845,13.4055475,52.5049373,13.4060799
1,83,357592,3875881983,10676691782,0.028242,0.070797,0.030219,False,52.5049373,13.4060799,52.504834,13.4064611
1,84,357594,10676691782,10676691781,0.033522,0.070609,0.035868,False,52.504834,13.4064611,52.5047109,13.4069132
1,85,357590,10676691781,10676691780,0.009626,0.071102,0.010299,False,52.5047109,13.4069132,52.5046758,13.4070432
1,86,357586,10676691780,660304107,0.015294,0.07071,0.016364,False,52.5046758,13.4070432,52.5046201,13.4072498
1,87,357588,660304107,10676691855,0.038407,0.070279,0.041095,False,52.5046201,13.4072498,52.5044756,13.4077652
1,88,357596,10676691855,13626543987,0.002046,0.074209,0.002189,False,52.5044756,13.4077652,52.5044681,13.4077928
1,89,357598,13626543987,10287674614,0.002518,0.073381,0.002695,False,52.5044681,13.4077928,52.5044589,13.4078268
1,90,357600,10287674614,29215042,0.011206,0.070626,0.01199,False,52.5044589,13.4078268,52.5044173,13.4079776
1,91,357934,29215042,12137333643,0.007858,0.071096,0.008408,False,52.5044173,13.4079776,52.5043526,13.4079309
1,92,357936,12137333643,10287674610,0.002428,0.073693,0.002598,False,52.5043526,13.4079309,52.5043326,13.4079165
1,93,357938,10287674610,10287674609,0.001426,0.076307,0.001526,False,52.5043326,13.4079165,52.504321,13.4079075
1,94,357940,10287674609,13591138988,0.000998,0.079011,0.001068,False,52.504321,13.4079075,52.504313,13.4079008
1,95,357942,13591138988,660910406,0.012107,0.071107,0.012954,False,52.504313,13.4079008,52.5042158,13.4078202
1,96,357944,660910406,10287670308,0.026683,0.077536,0.028551,False,52.5042158,13.4078202,52.5039997,13.4076488
1,97,357946,10287670308,10678429855,0.014564,0.07198,0.015584,False,52.5039997,13.4076488,52.503883,13.4075511
1,98,357930,10678429855,10287670306,0.008372,0.072636,0.008958,False,52.503883,13.4075511,52.5038159,13.407495
1,99,357932,10287670306,10678429854,0.002221,0.07564,0.002377,False,52.5038159,13.407495,52.5037981,13.4074801
1,100,19456,10678429854,10287670304,0.03905,0.072799,0.041783,False,52.5037981,13.4074801,52.503485,13.4072188
1,101,19458,10287670304,9240523885,0.018199,0.073501,0.019473,False,52.503485,13.4072188,52.5033394,13.407096
1,102,19460,9240523885,10678429876,0.009197,0.074204,0.009841,False,52.5033394,13.407096,52.5032658,13.407034
1,103,19462,10678429876,846739228,0.015389,0.074186,0.016466,False,52.5032658,13.407034,52.5031423,13.4069314
1,104,19464,846739228,2299002130,0.027056,0.07459,0.02895,False,52.5031423,13.4069314,52.5029241,13.4067545
1,105,19466,2299002130,12078205657,0.020999,0.075192,0.022469,False,52.5029241,13.4067545,52.5027546,13.4066177
1,106,19468,12078205657,13591310705,0.011484,0.075821,0.012288,False,52.5027546,13.4066177,52.5026619,13.4065429
1,107,19470,13591310705,13591138998,0.001028,0.083744,0.0011,False,52.5026619,13.4065429,52.5026536,13.4065362
1,108,19472,13591138998,10287670298,0.001041,0.083661,0.001114,False,52.5026536,13.4065362,52.5026452,13.4065294
1,109,19474,10287670298,29215043,0.010495,0.123389,0.011229,False,52.5026452,13.4065294,52.5025608,13.40646
1,110,19476,29215043,10287670301,0.008667,0.095634,0.009274,False,52.5025608,13.40646,52.5024914,13.4064017
1,111,19478,10287670301,13591310721,0.001695,0.080863,0.001813,False,52.5024914,13.4064017,52.5024778,13.4063904
1,112,19480,13591310721,13591310718,0.001337,0.082305,0.00143,False,52.5024778,13.4063904,52.5024671,13.4063814
1,113,19482,13591310718,10678429882,0.031746,0.076681,0.033968,False,52.5024671,13.4063814,52.5022124,13.4061695
1,114,19484,10678429882,10678429884,0.019383,0.077329,0.020739,False,52.5022124,13.4061695,52.5020569,13.4060401
1,115,19486,10678429884,2623676291,0.013935,0.077846,0.01491,False,52.5020569,13.4060401,52.5019451,13.4059471
1,116,19488,2623676291,2623676261,0.025588,0.078175,0.027379,False,52.5019451,13.4059471,52.5017417,13.4057703
1,117,19490,2623676261,7250137782,0.011058,0.078901,0.011832,False,52.5017417,13.4057703,52.5016531,13.4056961
1,118,19492,7250137782,2623676246,0.024025,0.085917,0.025706,False,52.5016531,13.4056961,52.5014596,13.4055382
1,119,19494,2623676246,10678429890,0.055719,0.080181,0.05962,False,52.5014596,13.4055382,52.5010129,13.4051652
1,120,488199,10678429890,268981779,0.009111,0.08122,0.009749,False,52.5010129,13.4051652,52.5009394,13.4051057
1,121,-1,268981779,29216563,0.023747,0.506423,0.025409,False,52.5009394,13.4051057,52.500764,13.4049604
1,122,488197,29216563,10678429891,0.010728,0.097247,0.011479,False,52.500764,13.4049604,52.500677,13.4048919
1,123,530961,10678429891,13691948320,0.03853,0.082188,0.041227,False,52.500677,13.4048919,52.5003673,13.4046366
1,124,530957,13691948320,1795182937,0.004463,0.084063,0.004776,False,52.5003673,13.4046366,52.5003314,13.4046071
1,125,530959,1795182937,1795182936,0.005996,0.083697,0.006415,False,52.5003314,13.4046071,52.5002832,13.4045674
1,126,357954,1795182936,13591310748,0.02594,0.083179,0.027756,False,52.5002832,13.4045674,52.5000747,13.4043955
1,127,357956,13591310748,10678429905,0.011145,0.083904,0.011926,False,52.5000747,13.4043955,52.4999851,13.4043217
1,128,357958,10678429905,10882954106,0.007502,0.084474,0.008027,False,52.4999851,13.4043217,52.4999248,13.404272
1,129,357960,10882954106,13591310725,0.005609,0.08501,0.006001,False,52.4999248,13.404272,52.4998797,13.4042349
1,130,357962,13591310725,29216565,0.010402,0.084529,0.01113,False,52.4998797,13.4042349,52.4997969,13.4041634
1,131,309245,29216565,5261937552,0.003739,0.086148,0.004001,False,52.4997969,13.4041634,52.4997677,13.404136
1,132,309247,5261937552,8567314893,0.039176,0.08491,0.041918,False,52.4997677,13.404136,52.4994549,13.4038697
1,133,309249,8567314893,1795182927,0.005236,0.086128,0.005602,False,52.4994549,13.4038697,52.4994131,13.4038341
1,134,309251,1795182927,10678429936,0.074762,0.086726,0.079996,False,52.4994131,13.4038341,52.4988097,13.4033469
1,135,357964,10678429936,10243398750,0.004,0.088422,0.00428,False,52.4988097,13.4033469,52.4987778,13.4033196
1,136,357966,10243398750,10678429929,0.014419,0.087549,0.015429,False,52.4987778,13.4033196,52.4986621,13.4032234
1,137,357968,10678429929,10882954118,0.01774,0.097192,0.018982,False,52.4986621,13.4032234,52.4985171,13.4031141
2,0,-1,1827996421,21487210,0.019534,0.096437,0.020902,False,52.5200133,13.4049874,52.5201551,13.4048173
2,1,-1,21487210,29221504,0.017819,0.070284,0.019067,False,52.5201551,13.4048173,52.5200437,13.404628
2,2,-1,29221504,1472911017,0.312473,0.441914,0.334346,False,52.5200437,13.404628,52.5183374,13.4009903
2,3,-1,1472911017,25665646,0.338433,0.58369,0.362124,False,52.5183374,13.4009903,52.5175323,13.3962739
2,4,-1,25665646,3378459431,0.077975,0.157872,0.083433,False,52.5175323,13.3962739,52.5174586,13.3951279
2,5,-1,3378459431,1263312256,0.135959,0.489748,0.145476,False,52.5174586,13.3951279,52.5173792,13.3931349
2,6,-1,1263312256,27005148,0.03842,0.330565,0.041109,False,52.5173792,13.3931349,52.5173862,13.3925755
2,7,-1,27005148,25664841,0.128167,0.291681,0.137139,False,52.5173862,13.3925755,52.5172688,13.3906912
2,8,-1,25664841,21487242,0.128671,0.309865,0.137678,False,52.5172688,13.3906912,52.5171468,13.3888002
2,9,-1,21487242,25662562,0.206883,0.393333,0.221365,False,52.5171468,13.3888002,52.5169511,13.3857597
2,10,-1,25662562,25664713,0.123858,0.271296,0.132528,False,52.5169511,13.3857597,52.5168328,13.3839396
2,11,3964,25664713,10559094672,0.010834,0.04542,0.011592,False,52.5168328,13.3839396,52.5169297,13.3839229
2,12,3966,10559094672,10559094664,0.002236,0.04571,0.002392,False,52.5169297,13.3839229,52.5169497,13.3839195
2,13,3968,10559094664,2055689807,0.047418,0.045082,0.050737,False,52.5169497,13.3839195,52.5173745,13.3838581
