delivery_id,origin_node,destination_node,vehicle_id,hazard_class,path_node_ids,path_arc_ids,path_length_km,path_risk,variable_cost,fixed_cost,total_cost,num_edges,feasible,solver_status
1,1827996421,10882954118,Mercedes_eActros_600,3,1827996421;21487210;29221504;29221506;2121324874;12913047864;13313285539;3182529377;12913047865;12913047866;6744165042;6682293818;341340978;21487209;9700774819;10567768816;258485601;102982788;11094466197;258485598;2421613962;5908894041;21487285;29194701;1349668349;283038325;283038326;283045467;21487284;11394364875;13039277265;10710834054;341340990;12914853646;4231481977;13589697473;446290091;12914853637;2522848345;12914853633;12914853629;12914853627;12914853583;12914853581;12914853621;12914853617;13589697482;10710834051;29215036;10710834052;12914853534;12914853532;10710834053;767501081;3098128138;13672974665;13672974656;13169571715;9779638206;13370325935;7704880039;13169538895;2453005339;2453005336;2453005331;9521403849;2453005319;13169538872;1981945876;13169538897;9209735315;29215041;10635007313;2454159044;29215039;9209735307;6171392297;10885733095;6086440338;12137333645;26764821;5183624209;6171392299;3875881983;10676691782;10676691781;10676691780;660304107;10676691855;13626543987;10287674614;29215042;12137333643;10287674610;10287674609;13591138988;660910406;10287670308;10678429855;10287670306;10678429854;10287670304;9240523885;10678429876;846739228;2299002130;12078205657;13591310705;13591138998;10287670298;29215043;10287670301;13591310721;13591310718;10678429882;10678429884;2623676291;2623676261;7250137782;2623676246;10678429890;268981779;29216563;10678429891;13691948320;1795182937;1795182936;13591310748;10678429905;10882954106;13591310725;29216565;5261937552;8567314893;1795182927;10678429936;10243398750;10678429929;10882954118,-1;-1;208151;-1;402938;402946;402944;402942;402940;267669;267667;267665;-1;-1;-1;-1;90934;66768;66770;90932;273269;-1;-1;-1;-1;-1;305444;-1;414866;-1;414868;19294;19296;19298;19300;19302;19304;19306;19308;19310;19312;19314;19316;19318;19320;19322;19324;19326;19328;19330;19332;19334;19336;95669;95667;95665;95663;95661;460613;460594;95638;95640;95642;95644;95646;95648;95650;95652;95654;95656;95658;357751;357749;366947;159054;159052;159050;159048;159046;159044;166198;166200;166202;357592;357594;357590;357586;357588;357596;357598;357600;357934;357936;357938;357940;357942;357944;357946;357930;357932;19456;19458;19460;19462;19464;19466;19468;19470;19472;19474;19476;19478;19480;19482;19484;19486;19488;19490;19492;19494;488199;-1;488197;530961;530957;530959;357954;357956;357958;357960;357962;309245;309247;309249;309251;357964;357966;357968,3.1849,13.4249,3.4078,220,223.4078,138,True,Optimal
2,1827996421,13047905398,Mercedes_eActros_600,2,1827996421;21487210;29221504;1472911017;25665646;3378459431;1263312256;27005148;25664841;21487242;25662562;25664713;10559094672;10559094664;2055689807;1702616130;25664699;6400342991;6400342990;5394001567;10889595198;538810542;12077445802;12077445807;175652814;5824657591;5824657592;1447899974;1348697004;26870674;1342724020;21487173;8977088994;27011222;21487171;1337618621;21487169;27011311;1999948493;21677261;5194290241;26704447;21487145;21487148;21487144;251106770;26727582;26727583;267620336;26727584;614419921;26938189;26784912;26682524;26727599;26784927;12887437539;10002955554;4276741249;13047915227;13047915216;10002955557;26784939;10004990329;13047915202;10004990340;26784940;10004990341;13047905398,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3964;3966;3968;3970;-1;-1;269043;217333;217331;217329;217327;392023;392021;160319;160317;160315;3649;-1;-1;-1;303024;-1;-1;-1;303025;-1;-1;159680;-1;-1;-1;-1;-1;-1;-1;-1;329351;-1;-1;293784;-1;177420;-1;10459;7339;7341;7343;7345;7347;7349;7351;261535;261537;261539;261541;261543;261545,7.6754,20.5433,8.2127,220,228.2127,68,True,Optimal
3,1827996421,30429541,Volvo_FH_Electric,8,1827996421;13334677280;13907381360;27411306;262469034;967017877;29123671;196741367;3837048413;3837048414;1289731063;12925994896;5451501378;10201971104;12925994895;5451501377;10760477364;10760477361;9830552393;29221562;9828580196;29221535;10648227581;9828580199;3730313048;10061335737;3730313049;3730313051;604995590;196746683;12423006349;3918673889;29221556;98978100;29123430;262471605;13395269812;26753165;13395269811;7924161543;26753142;262471294;27484568;262471682;1838613291;1838613312;1838613313;1838613334;29123047;1838613384;1838613404;29123050;10258456769;1838489920;5339762638;5339762637;1585633288;1838467119;1838467127;29150075;5024937411;29150076;29420123;1380718860;29420121;29420120;29420119;292149898;28794059;1594454204;5952146581;11359806705;5325708371;13311049582;11359806684;5420440684;11359806700;1594434385;5325708372;1594459680;11359806696;11359806721;29422090;11359806719;1751610242;1751610243;1751610245;1751610247;11359806767;29422108;29422085;11360026326;5943788485;13311029842;11360024646;29422086;11360024647;1147129642;13305019010;268593200;29428744;11388367668;13305027880;13305027881;11388373380;27199843;11388373376;268594075;13305040282;6547136858;13305040281;11388373390;774686263;11388373388;11039905357;11039905347;27199840;11039905344;11039905356;1849662865;1849662867;1849661117;9393223349;13304932515;13304932516;13304932517;13304932518;11158593439;27199842;1849750888;10846672865;1849764160;2055786825;3933569904;3933569905;7104195605;8868320634;11228599206;29428740;11228599205;3135890093;11228599204;5164816662;1849718416;11228599202;12634194523;11228599201;11228599203;2112703765;1861546764;4470477064;1861546766;3135890100;3135890101;11228599199;11228599200;7125165438;1821788428;3135890104;588159325;4470477068;30429541,-1;-1;-1;-1;164869;-1;-1;104240;104238;104236;104234;404565;404563;404561;337601;337599;337597;362400;362398;250226;250224;250222;250220;250218;250216;327659;404556;-1;327665;250214;250212;250210;-1;-1;-1;508424;508428;508426;508422;167672;146011;146009;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;323733;-1;234716;-1;-1;-1;308262;-1;22044;-1;-1;-1;-1;-1;-1;182505;182503;182501;182499;488990;488988;182509;182507;182455;182453;182529;182527;182525;226004;226002;226000;225998;225996;225994;225992;225989;220999;221001;221003;488945;488947;22355;22353;22351;487209;487207;487254;487256;487252;91744;91746;487379;487377;487375;487373;487371;263009;263007;263005;263003;263001;262999;22480;22478;22476;22474;22472;22470;22468;487149;487151;487153;487157;487155;486981;486983;365432;345936;345934;345932;345930;215955;215953;215951;215949;215947;215945;215943;215941;469404;469402;469400;469398;469396;160369;160367;160365;160363;160361;469394;469392;469390;469388;480052;480050;29917;29915,7.1487,20.6652,7.1666,200,207.1666,161,True,Optimal
