scenario,comparison_status,dataset_name,risk_weight,cost_weight,time_weight,solver_status,heuristic_status,solver_served_customers,heuristic_served_customers,solver_total_risk,heuristic_total_risk,risk_diff_heuristic_minus_solver,risk_diff_pct_vs_solver,solver_total_cost,heuristic_total_cost,cost_diff_heuristic_minus_solver,cost_diff_pct_vs_solver,solver_total_time_minutes,heuristic_total_time_minutes,solver_runtime_total_algorithm_seconds,heuristic_runtime_total_algorithm_seconds,solver_active_vehicles,heuristic_active_vehicles,heuristic_single_trip_per_vehicle,heuristic_route_structure_compatible
small_risk_0.3_cost_0.5_time_0.2,both_feasible,Small,0.3,0.5,0.2,feasible,feasible,10,10,3.2205,11.3592,8.1387,252.716,2347.4623,3741.532,1394.0697,59.386,1163.1151,1196.909,,0.4342,2,3,True,True
small_risk_0.5_cost_0.3_time_0.2,both_feasible,Small,0.5,0.3,0.2,feasible,feasible,10,10,3.2205,16.0303,12.8098,397.757,2347.4623,2790.8264,443.3641,18.887,1163.1151,1162.9349,,0.5717,2,2,True,True
