scenario,method,source_file,dataset_name,status,search_status,risk_weight,cost_weight,time_weight,objective_value,served_customers,unserved_customers,excluded_customers,total_risk,total_cost,total_activation_cost,total_road_operating_cost,total_station_charging_cost,total_end_of_day_recharge_cost,total_distance_km,total_time_minutes,makespan_minute,runtime_construction_seconds,runtime_repair_seconds,runtime_vnd_seconds,runtime_vns_seconds,runtime_total_algorithm_seconds,active_vehicles,route_count,single_trip_per_vehicle,route_structure_compatible
small_risk_0.3_cost_0.5_time_0.2,heuristic,experiments\data\heuristic_output_multicustomer\small_risk_0.3_cost_0.5_time_0.2\heuristic_result.json,Small,feasible,feasible,0.3,0.5,0.2,0.4577,10,0,0,11.3592,3741.532,3000.0,407.0199,160.9874,173.5247,740.0362,1196.909,514.9488,0.4342,,,,0.4342,3,3,True,True
small_risk_0.3_cost_0.5_time_0.2,solver,experiments\data\solver_output_multicustomer\small_output_risk0.3_cost0.5_time0.2\solver_result.json,Solver_Instance,feasible,optimal,0.3,0.5,0.2,0.1679,10,0,0,3.2205,2347.4623,2000.0,347.4623,0.0,0.0,631.7497,1163.1151,780.0,,,,,,2,9,True,
small_risk_0.5_cost_0.3_time_0.2,heuristic,experiments\data\heuristic_output_multicustomer\small_risk_0.5_cost_0.3_time_0.2\heuristic_result.json,Small,feasible,feasible,0.5,0.3,0.2,0.576,10,0,0,16.0303,2790.8264,2000.0,383.9686,323.0397,83.8181,698.1248,1162.9349,594.4936,0.5717,,,,0.5717,2,2,True,True
small_risk_0.5_cost_0.3_time_0.2,solver,experiments\data\solver_output_multicustomer\small_output_risk0.5_cost0.3_time0.2\solver_result.json,Solver_Instance,feasible,optimal,0.5,0.3,0.2,0.1783,10,0,0,3.2205,2347.4623,2000.0,347.4623,0.0,0.0,631.7497,1163.1151,780.0,,,,,,2,9,True,
